timestep,agent_id,community_id,centrality,d0,d1,d2,d3,d4,d5
0,113,0,0.75,0.558155,0.474961,0.622516,0.593763,0.687759,0.421802
0,114,0,0.75,0.434689,0.428135,0.61862,0.724756,0.431174,0.436284
0,115,0,0.875,0.547112,0.463136,0.642808,0.162233,0.375994,0.382638
0,116,0,0.75,0.151947,0.355454,0.362727,0.469834,0.666945,0.463241
0,117,0,0.875,0.345378,0.491457,0.657376,0.353606,0.363414,0.583782
0,118,0,0.75,0.46677,0.597123,0.497953,0.60525,0.344738,0.498187
0,119,0,0.5,0.468396,0.317616,0.265478,0.602862,0.447357,0.346658
0,120,0,0.875,0.485573,0.669203,0.157889,0.275504,0.361567,0.719177
0,121,0,0.875,0.542388,0.615098,0.328976,0.33207,0.567172,0.508741
0,122,0,0.625,0.582311,0.471849,0.541722,0.523718,0.616665,0.621051
0,123,0,0.75,0.257019,0.16291,0.650262,0.678159,0.346907,0.221025
0,124,0,0.75,0.514855,0.639626,0.769639,0.577445,0.444242,0.36603
0,125,0,0.75,0.501718,0.45511,0.34774,0.807313,0.767775,0.670407
0,126,0,0.625,0.361872,0.628253,0.595944,0.566382,0.68745,0.595306
0,127,0,0.75,0.611002,0.595536,0.551119,0.232458,0.512543,0.416571
0,128,0,0.625,0.308024,0.752272,0.759349,0.703883,0.538282,0.702594
0,129,0,0.75,0.501808,0.53042,0.335979,0.559549,0.509058,0.304602
0,130,0,0.75,0.49232,0.488041,0.769634,0.634132,0.501717,0.537318
0,131,0,0.75,0.506632,0.469563,0.337636,0.477342,0.388085,0.312453
0,132,0,0.75,0.576683,0.55869,0.231994,0.481597,0.649355,0.658884
0,133,0,0.75,0.653876,0.505837,0.373243,0.337445,0.551691,0.556892
0,134,0,0.75,0.6931,0.664997,0.480166,0.313369,0.452134,0.532585
0,135,0,0.75,0.469688,0.413316,0.537933,0.424406,0.40579,0.546718
0,136,0,1.0,0.439701,0.536616,0.540981,0.329086,0.427814,0.715667
0,137,0,0.875,0.325688,0.182502,0.220723,0.504366,0.504638,0.482358
0,138,0,0.75,0.682128,0.099075,0.55939,0.734216,0.330833,0.443029
0,139,0,0.75,0.387066,0.365848,0.451061,0.714123,0.775608,0.449609
0,140,0,0.875,0.785759,0.505336,0.763054,0.486005,0.519659,0.554821
0,141,0,0.875,0.976828,0.627693,0.39391,0.64535,0.445725,0.426537
0,142,0,0.75,0.63629,0.504663,0.541786,0.502098,0.550487,0.563745
0,143,0,0.75,0.209455,0.599986,0.352697,0.283655,0.491238,0.512597
